# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      a007
# Description of the table:        Distances
# Description of each column
# $objname: ------------ Name of object
# $j2000: -------------- J2000 coordinates
# $field[modulus]: ----- Distance modulus
# $field[distance]: ---- Linear distance (Mpc)
# modc: ---------------- Distance modulus corrected to standard system
# $link[method,method]:  Distance determination method
# $link[iref,iref]: ---- Code of Bib.Ref.
# $link[bibref,bibcode]:  Bibliographic Reference
# $link[calib,calib_bibcode]:  Calibration relation
#-------- ------ ------- --------- ------ -------- -------- ---------- ------ -------- ---- -------------------- ---------------- --------------------- --------------------------
$objname $j2000 modulus e_modulus flimit fquality distance e_distance flimit fquality modc $link[method,method] $link[iref,iref] $link[bibref,bibcode] $link[calib,calib_bibcode]
#-------- ------ ------- --------- ------ -------- -------- ---------- ------ -------- ---- -------------------- ---------------- --------------------- --------------------------
PGC001288	J002000.1-062002	33.529	0.149			50.7925323322101	3.60754509445678			33.6265596538535	SNIa      	    51915	Silverman+2012         	SNIa:Jha+2007:RV=3.1           
PGC001288	J002000.1-062002	33.349	0.124			46.7519580629847	2.74743963749858			33.3489990234375	SNIa      	    52083	Prieto,+2006           	SNIa:Prieto+2006               
PGC001288	J002000.1-062002	33.363	0.141		:	47.054351511267	3.156728228205		:	33.1852933818716	SNIa      	    51916	Jha+2007               	SNIa:Jha+2007                  
IC0010	J002023.1+591735	24.85				0.933254464744871				24.8500003814697	BS3B      	    51435	Karachentsev+1993      	                               
IC0010	J002023.1+591735	25.2				1.09647858138714				25.2000007629395	BS3R      	    51435	Karachentsev+1993      	                               
IC0010	J002023.1+591735	24.3	0.14			0.724435705546922	0.0482443908872784			24.2379749676756	PNLF      	    51565	Kniazev+2008           	PNLF:Ciardullo+2002            
IC0010	J002023.1+591735	24.5	0.120001			0.794328234724282	0.0451320762307341			24.5025474308261	TRGB      	    52052	Jacobs,+2009           	TRGB:Rizzi+2007                
IC0010	J002023.1+591735	24.5	0.120001		p	0.794328234724282	0.0451320762307341		p	24.5025474308261	TRGB      	    51764	Jacobs+2009            	TRGB:Rizzi+2007                
IC0010	J002023.1+591735	24.1			c	0.660693564073806			c	24.1000003814697	Cepheids  	    51600	Tully+2008             	Cepheids:unknown               
IC0010	J002023.1+591735	24.1	0.19		c	0.660693564073806	0.0604142191395537		c	24.1000003814697	Cepheids  	    51384	Ferrarese+2000         	                               
IC0010	J002023.1+591735	24.0977			c	0.659999852526375			c	24.0977191925049	Cepheids  	    51160	Karachentsev+2004      	                               
IC0010	J002023.1+591735	23.56			c	0.515228517865088			c	23.5599994659424	TRGB      	    52014	Tammann+2008           	                               
UGC00196	J002034.2+472603	33.74	0.54			55.9758034166927	15.8037114566538			33.6937674650754	TF        	    51984	Sorce+2014             	TF:Sorce+2014:M[3.6]           
ESO150-005	J002226.3-533853	30.68	0.4			13.6772901781461	2.76642647625878			30.7021788303232	TF        	    51600	Tully+2008             	TF:Tully+2008                  
NGC0100	J002402.9+162912	31.42	0.45			19.2309179647734	4.42828815392233			31.3696026967147	TF        	    51984	Sorce+2014             	TF:Sorce+2014:MC[3.6]          
NGC0100	J002402.9+162912	31.4	0.54			19.054603832247	5.37970770413062			31.3537654051389	TF        	    51984	Sorce+2014             	TF:Sorce+2014:M[3.6]           
NGC0100	J002402.9+162912	31.21	0.35			17.4582141685424	3.05340257503185			31.2321776096201	TF        	    51600	Tully+2008             	TF:Tully+2008                  
NGC0105	J002516.8+125302	33.42	0.25			48.305839470938	5.89420386600261			33.4199981689453	SNIa      	    51920	Amanullah+2010         	SNIa:Guy+2007                  
NGC0105	J002516.8+125302	34.075	0.151			65.3130782122714	4.70341381313273			33.8972951824087	SNIa      	    51916	Jha+2007               	SNIa:Jha+2007                  
NGC0105	J002516.8+125302	34.289	0.053			72.077595959436	1.78091942434781			34.004280029071	SNIa      	    51915	Silverman+2012         	SNIa:Jha+2007:RV=1.7           
NGC0105	J002516.8+125302	33.905	0.066			60.3948289863998	1.86388336693223			34.0025591045371	SNIa      	    51915	Silverman+2012         	SNIa:Jha+2007:RV=3.1           
